"sourcedb"	"site"	"idf"	"labcode"	"lon"	"lat"	"period"	"median"	"ID"	"code"
"neonet"	"Abri Pendimoun"	3	"Gif-A101334"	7.505944	43.812212	"EN"	-5689	3	NA
"neonet"	"Abri de la Font-des-Pigeons"	5	"MC-2515"	5.1667	43.3834	"EN"	-5792	5	NA
"neonet"	"Arma dell'Aquila"	11	"Ly-14593"	8.32967	44.204708	"EN"	-5707	11	"Cfa"
"neonet"	"Arma dello Stefanin"	12	"Bln-3276"	8.0021	44.1044	"EN"	-5549	12	"Cfa"
"neonet"	"Balsignano"	15	"KIA-?"	16.794123	41.066968	"EN"	-5517	15	NA
"bda"	"Bella"	18	"Gif-4375"	12.482	42.646	"EN"	-5408	18	"Csa"
"neonet"	"Catignano"	27	"R-1147"	13.943843	42.34267	"EN"	-5427	27	"Cfb"
"neonet"	"Coppa Nevigata"	35	"OxA-1475"	15.830555	41.563888	"EN"	-5773	35	"Csa"
"neonet"	"Crno Vrilo"	36	"Poz-18395"	15.072992	44.528388	"EN"	-5778	36	"Dfb"
"neonet"	"Defensola"	38	"UTC-1342"	16.155946	41.897824	"EN"	-5867	38	"Csa"
"neonet"	"Fagnigola"	42	"R-2539"	12.687636	45.844969	"EN"	-5500	42	"Cfa"
"bda"	"Favella"	43	"Beta-61633"	16.45	39.75	"EN"	-5793	43	"Csa"
"neonet"	"Favella della Corte"	44	"LTL-778A"	16.437459	39.684086	"EN"	-5912	44	"Csa"
"neonet"	"Gospodska Pecina"	46	"Z-579"	16.7537	43.1343	"EN"	-5884	46	"Csa"
"neonet"	"Grapceva Cave"	48	"Beta-103488"	16.753065	43.133991	"EN"	-5908	48	"Csa"
"bda"	"Gritulu"	49	"LYON-824"	9.425046	42.89037	"EN"	-5723	49	NA
"neonet"	"Grotta Continenza"	50	"R-549"	13.563071	41.961674	"EN"	-6099	50	"Csa"
"neonet"	"Grotta Corbeddu"	51	"UtC-1251"	9.48634	40.255253	"EN"	-5605	51	"Csa"
"neonet"	"Grotta Sant'angelo di Ostuni"	56	"Gif-6724"	17.574791	40.738148	"EN"	-5778	56	"Csa"
"neonet"	"Grotta Scaloria"	57	"Lj-4649"	15.906389	41.638889	"EN"	-5633	57	"Csa"
"neonet"	"Grotta dei Cocci"	59	"GX-29098"	12.5106	42.5157	"EN"	-5633	59	"Cfa"
