SiteName	AlternativeNames
Franchthi	Franchthi Cave
Grotta dell'Uzzo	Uzzo
Sidari	Sidari. Corfou
Balma Margineda	Margineda
Balma Margineda	Balma de la Margineda
Nevali Çori	Nevalı Çori
Dja'de	Dja’de
Göbekli Tepe	Göbekli Tepe Ziyareti
Calowanie	CaÅ‚owanie
Riparo di Romagnano III	Romagnano loc.III
Thatcham	food processing activity
West Heath Common	adjacent to barrows excavated 1973-5
Cafer Höyük	Cafer
Broxbourne	Flint scatter in peat
Lède-du-Gurp	La Lède-du-Gurp
Verrebroeck Dok	Verrebroeck
Verrebroeck Dok	Dok
Verrebroeck Dok	Verrebroek-Dok C21
La Vergne	La Vergne “La Grande Pièce""
Ain Ghazal	'Ain Ghazal
La Frau	Abri de la Frau
